Income_Category,Card_Category,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Transaction_Amount_Change_Q4_Q1,Transaction_Count_Change_Q4_Q1,Avg_Utilization_Ratio,Customer_Tenure_Years,Average_Transaction_Value,Available_Credit_Ratio,Revolving_Balance_Ratio,Contact_Frequency,Inactivity_Ratio,Actual_Churn,Predicted_Churn,Churn_Probability,Churn_Probability_%,Predicted_Status,High_Risk,Risk_Category,High_Value,High_Value_At_Risk
0,0,0,0,0,1,0,0,1,0,0,55,0,1,42,1,0.81,0.612,0.642,3.5,58.78481013,0.357941077,0.642058923,0.25,0.25,0,0,0.265212638,26.52,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,1,0,26,1,1,13,3,0.607,0.294,0.696,1.083333333,57.04545455,0.303587856,0.696412144,0.166666667,0.25,0,0,0.048923561,4.89,Retained,0,Lower Risk,0,0
4,0,0,0,0,0,0,1,1,0,0,39,1,2,36,6,1.052,0.75,0.073,3,124.8571429,0.927077297,0.072922703,0.25,0.25,1,1,0.833826889,83.38,Churn,1,High Risk,0,0
0,0,0,0,0,0,1,0,1,0,0,58,0,2,45,3,0.615,0.407,0.791,3.75,36.07894737,0.209062822,0.790937178,0.333333333,0.25,0,0,0.254421204,25.44,Retained,0,Lower Risk,0,0
2,0,0,0,1,0,0,0,1,0,0,37,1,4,24,3,0.879,0.433,0.402,2,43.90697674,0.597938144,0.402061856,0.333333333,0.083333333,0,0,0.03491805,3.49,Retained,0,Lower Risk,0,0
0,0,0,0,1,0,0,0,1,0,0,49,0,4,43,4,0.576,0.622,0.415,3.583333333,48.78082192,0.584501237,0.415498763,0.166666667,0.25,0,0,0.08116029,8.12,Retained,0,Lower Risk,0,0
3,0,0,0,0,0,0,0,0,1,0,45,1,5,35,4,0.751,0.651,0.068,2.916666667,48.70422535,0.931832321,0.068167679,0.083333333,0.166666667,0,0,0.011827637,1.18,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,1,0,0,31,1,0,36,3,0.934,0.732,0.364,3,114.4084507,0.635798003,0.364201997,0.25,0.166666667,1,0,0.199531493,19.95,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,1,0,1,0,40,0,2,36,2,0.775,0.574,0.295,3,93.68235294,0.704679182,0.295320818,0.25,0.166666667,0,0,0.086433672,8.64,Retained,0,Lower Risk,0,0
3,0,0,0,1,0,0,0,0,0,0,60,1,1,48,1,0.645,0.227,0,4,83.37037037,1,0,0.25,0.416666667,1,1,0.959511473,95.95,Churn,1,High Risk,0,0
2,0,0,0,0,0,0,0,0,1,0,45,1,3,35,1,0.661,0.694,0.103,2.916666667,82.81967213,0.89728012,0.10271988,0.166666667,0.083333333,0,0,0.003827707,0.38,Retained,0,Lower Risk,0,0
2,0,0,0,1,0,0,0,0,1,0,39,1,3,36,4,0.534,0.929,0.244,3,51.40740741,0.75595324,0.24404676,0.25,0.166666667,0,0,0.028936492,2.89,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,1,0,0,1,0,57,0,3,52,4,0.63,0.659,0.593,4.333333333,51.16438356,0.406593407,0.593406593,0.25,0.25,0,0,0.086895631,8.69,Retained,0,Lower Risk,0,0
3,0,0,1,0,0,0,0,0,1,0,45,1,2,39,6,0.635,0.444,0,3.25,54.6,1,0,0.25,0.25,0,1,0.604807518,60.48,Churn,1,High Risk,0,0
3,0,0,1,0,0,0,0,0,1,0,45,1,3,32,5,0.912,0.909,0.103,2.666666667,36,0.897210765,0.102789235,0.166666667,0.166666667,0,0,0.010241544,1.02,Retained,0,Lower Risk,0,0
0,0,0,0,1,0,0,0,1,0,0,56,0,1,49,1,0.8,0.792,0.143,4.083333333,101.0072464,0.856515791,0.143484209,0.083333333,0.166666667,0,0,0.021545139,2.15,Retained,0,Lower Risk,0,0
2,0,0,1,0,0,0,0,1,0,0,48,1,4,37,1,0.838,0.692,0.345,3.083333333,90.60227273,0.655110989,0.344889011,0.25,0.166666667,0,0,0.051577436,5.16,Retained,0,Lower Risk,0,0
3,0,0,0,1,0,0,0,1,0,0,49,1,3,39,5,0.6,0.529,0.568,3.25,55.33333333,0.431596781,0.568403219,0.166666667,0.25,0,0,0.121823367,12.18,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,1,0,0,0,1,49,0,4,45,1,0.847,0.672,0.342,3.75,128.3333333,0.657740586,0.342259414,0.083333333,0.25,0,0,0.017862865,1.79,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,0,1,59,0,0,49,2,0.899,0.656,0,4.083333333,57.50943396,1,0,0.166666667,0.25,1,0,0.344702733,34.47,Retained,0,Lower Risk,0,0
1,0,1,0,0,0,0,0,1,0,0,61,0,1,47,4,0.681,0.457,0.292,3.916666667,40.50980392,0.708444341,0.291555659,0.333333333,0.166666667,0,0,0.103695691,10.37,Retained,0,Lower Risk,0,0
3,0,0,1,0,0,0,0,1,0,0,54,1,2,46,6,0.939,0.69,0.65,3.833333333,28.10204082,0.349646821,0.650353179,0.25,0.166666667,0,0,0.026178886,2.62,Retained,0,Lower Risk,0,0
3,0,0,1,0,0,0,0,0,1,0,40,1,3,30,2,1.017,0.379,0.005,2.5,124.575,0.994580408,0.005419592,0.166666667,0.166666667,1,1,0.98401627,98.4,Churn,1,High Risk,0,0
1,0,0,0,0,0,0,1,0,1,0,52,0,1,43,4,0.584,0.731,0.546,3.583333333,43.47777778,0.453811206,0.546188794,0.166666667,0.166666667,0,0,0.036681379,3.67,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,0,0,33,0,2,24,3,0.754,1.043,0.337,2,55.38297872,0.662501837,0.337498163,0.166666667,0.083333333,0,0,0.008144443,0.81,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,1,0,0,1,0,36,0,2,23,3,0.867,0.718,0.603,1.916666667,58.14925373,0.396622313,0.603377687,0,0.083333333,0,0,0.012298545,1.23,Retained,0,Lower Risk,0,0
0,1,0,0,1,0,0,0,1,0,0,48,1,2,36,2,0.776,0.817,0.173,3,161.7247706,0.827378095,0.172621905,0.166666667,0.166666667,0,0,0.013340837,1.33,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,1,0,48,0,4,40,3,0.915,0.634,0.077,3.333333333,63.08955224,0.923056252,0.076943748,0.166666667,0.166666667,0,0,0.042096887,4.21,Retained,0,Lower Risk,0,0
3,0,0,1,0,0,0,0,0,1,0,42,1,4,33,4,0.792,0.795,0,2.75,55.36708861,1,0,0.166666667,0.166666667,0,0,0.030493683,3.05,Retained,0,Lower Risk,0,0
4,0,1,0,0,0,0,0,1,0,0,52,1,2,34,3,0.658,0.621,0,2.833333333,44.87234043,1,0,0.25,0.166666667,1,0,0.446898577,44.69,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,0,0,0,0,53,0,1,36,3,0.673,0.6,0,3,64.70833333,1,0,0.25,0.083333333,0,0,0.102397599,10.24,Retained,0,Lower Risk,0,0
0,0,0,0,1,0,0,0,1,0,0,41,0,2,24,1,0.969,0.745,0.228,2,143.0208333,0.771749688,0.228250312,0.083333333,0.083333333,0,0,0.039810351,3.98,Retained,0,Lower Risk,0,0
4,0,0,0,0,0,0,1,0,1,0,40,1,2,21,6,0.466,0.533,0.08,1.75,36.67391304,0.920123654,0.079876346,0.25,0.333333333,0,0,0.149413126,14.94,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,1,0,0,46,0,4,40,5,0.675,0.925,0.491,3.333333333,58.19480519,0.508894045,0.491105955,0.333333333,0.25,0,0,0.040957834,4.1,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,1,0,0,0,0,30,0,1,19,6,0.82,0.517,0,1.583333333,57.56818182,1,0,0.166666667,0.083333333,1,0,0.322256447,32.23,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,0,1,0,0,39,1,1,27,4,0.854,0.756,0.461,2.25,63.48611111,0.538764783,0.461235217,0.166666667,0.166666667,0,0,0.027597639,2.76,Retained,0,Lower Risk,0,0
0,0,0,0,1,0,0,0,0,1,0,36,0,1,22,6,0.793,0.848,0.086,1.833333333,54.54117647,0.913619232,0.086380768,0.166666667,0.25,0,0,0.01163623,1.16,Retained,0,Lower Risk,0,0
2,0,0,0,0,1,0,0,0,1,0,61,1,0,36,6,0.637,0.6,0.051,3,53.1625,0.948736205,0.051263795,0.25,0.166666667,0,0,0.0549057,5.49,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,1,0,0,52,0,3,44,5,0.674,0.605,0.955,3.666666667,61.14492754,0.045022718,0.954977282,0.25,0.416666667,0,0,0.302417509,30.24,Retained,0,Lower Risk,0,0
4,0,0,0,1,0,0,0,0,1,0,52,1,2,43,3,0.916,0.547,0.022,3.583333333,52.59756098,0.977952254,0.022047746,0.25,0.166666667,0,1,0.582583988,58.26,Churn,1,High Risk,0,0
2,0,1,0,0,0,0,0,0,1,0,35,1,0,18,6,0.765,0.903,0.633,1.5,42.08474576,0.366820631,0.633179369,0.25,0.166666667,0,0,0.007861443,0.79,Retained,0,Lower Risk,0,0
1,0,0,0,1,0,0,0,0,1,0,47,0,3,34,4,0.879,1.034,0.776,2.833333333,59.18644068,0.22363729,0.77636271,0.25,0.083333333,0,0,0.004953706,0.5,Retained,0,Lower Risk,0,0
0,0,0,0,1,0,0,0,0,1,0,46,0,3,36,1,0.681,0.654,0.362,3,81.6627907,0.63848704,0.36151296,0.166666667,0.25,0,0,0.04241787,4.24,Retained,0,Lower Risk,0,0
1,0,0,0,1,0,0,0,0,1,0,41,0,5,32,6,0.8,0.844,0.095,2.666666667,53.85542169,0.904917595,0.095082405,0.166666667,0.083333333,0,0,0.001232291,0.12,Retained,0,Lower Risk,0,0
0,1,0,0,0,1,0,0,0,1,0,31,1,1,36,6,0.843,0.628,0,3,107.5428571,1,0,0.416666667,0.25,1,1,0.907105222,90.71,Churn,1,High Risk,0,0
0,0,0,0,0,0,0,0,1,0,0,46,0,4,35,2,0.802,1.114,0,2.916666667,62.95945946,1,0,0.166666667,0.166666667,0,0,0.128613283,12.86,Retained,0,Lower Risk,0,0
2,0,0,0,1,0,0,0,0,0,1,48,1,4,30,3,0.806,0.766,0.13,2.5,50.85542169,0.870483981,0.129516019,0.166666667,0.25,0,0,0.038307484,3.83,Retained,0,Lower Risk,0,0
4,0,0,1,0,0,0,0,1,0,0,35,1,4,30,4,1.129,0.774,0.029,2.5,42.72727273,0.970506432,0.029493568,0.333333333,0.25,0,0,0.013692229,1.37,Retained,0,Lower Risk,0,0
4,1,0,0,1,0,0,0,1,0,0,44,1,3,34,3,0.814,0.566,0.073,2.833333333,89.48192771,0.927077297,0.072922703,0.166666667,0.083333333,0,0,0.007535142,0.75,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,1,0,1,0,50,0,2,32,4,0.815,0.902,0,2.666666667,58.94871795,1,0,0.083333333,0.25,0,0,0.040775648,4.08,Retained,0,Lower Risk,0,0
3,0,0,0,0,0,0,1,1,0,0,47,1,2,36,3,0.664,0.696,0.214,3,60.44871795,0.785525061,0.214474939,0.25,0.083333333,0,0,0.009398336,0.94,Retained,0,Lower Risk,0,0
3,0,0,0,0,0,1,0,0,1,0,42,1,4,36,3,0.635,0.853,0.058,3,67.3015873,0.942259495,0.057740505,0.25,0.166666667,0,0,0.024854997,2.49,Retained,0,Lower Risk,0,0
0,0,1,0,0,0,0,0,0,0,0,49,0,3,42,1,0.489,0.593,0.41,3.5,46.58139535,0.590215676,0.409784324,0.25,0.25,1,1,0.784683069,78.47,Churn,1,High Risk,0,0
2,0,0,0,0,0,1,0,0,1,0,57,1,0,42,6,0.813,1.2,0.145,3.5,40.84090909,0.855437507,0.144562493,0.25,0.333333333,0,0,0.089747054,8.97,Retained,0,Lower Risk,0,0
0,1,0,0,0,0,0,1,1,0,0,41,0,3,34,5,1.034,0.733,0.059,2.833333333,57.19230769,0.940520338,0.059479662,0.25,0.25,0,0,0.057679852,5.77,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,1,0,1,0,0,53,0,2,42,6,0.673,0.929,0.553,3.5,58.25925926,0.447028424,0.552971576,0.416666667,0.083333333,0,0,0.00469698,0.47,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,0,0,1,0,29,0,1,23,4,1.033,0.769,0,1.916666667,39.75362319,1,0,0.333333333,0.25,0,0,0.025417606,2.54,Retained,0,Lower Risk,0,0
1,0,0,0,1,0,0,0,1,0,0,37,0,1,25,4,1.348,1.35,0.429,2.083333333,55.80851064,0.57084399,0.42915601,0.333333333,0.25,0,0,0.002521364,0.25,Retained,0,Lower Risk,0,0
3,0,0,0,1,0,0,0,1,0,0,39,1,2,34,6,1.06,1,0.175,2.833333333,61.28125,0.825342854,0.174657146,0.25,0.25,0,0,0.010902756,1.09,Retained,0,Lower Risk,0,0
1,0,0,1,0,0,0,0,0,0,1,38,1,2,36,4,0.79,0.605,0,3,76.09836066,1,0,0.333333333,0.25,0,0,0.308192495,30.82,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,1,0,1,0,60,0,1,51,3,0.757,0.809,0.22,4.25,114.7317073,0.779766793,0.220233207,0.25,0.25,0,0,0.123460614,12.35,Retained,0,Lower Risk,0,0
3,2,0,0,1,0,0,0,0,1,0,41,1,3,28,2,0.746,0.526,0.061,2.333333333,79.67816092,0.939216595,0.060783405,0,0.166666667,0,0,0.012635111,1.26,Retained,0,Lower Risk,0,0
0,1,0,0,0,0,1,0,0,0,0,47,0,2,35,3,1.127,0.622,0.057,2.916666667,62.08333333,0.943194427,0.056805573,0.333333333,0.083333333,0,0,0.009861689,0.99,Retained,0,Lower Risk,0,0
0,0,1,0,0,0,0,0,0,0,0,57,0,2,47,5,0.897,0.654,0.765,3.916666667,56.36046512,0.235223642,0.764776358,0.166666667,0.083333333,0,0,0.008280883,0.83,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,1,0,0,39,0,1,29,4,0.723,0.737,0.524,2.416666667,53.3030303,0.476474092,0.523525908,0.166666667,0.25,0,0,0.029038359,2.9,Retained,0,Lower Risk,0,0
3,0,0,0,0,0,0,0,0,1,0,47,1,5,41,1,0.938,0.65,0.519,3.416666667,142.4949495,0.481189851,0.518810149,0.25,0.083333333,0,0,0.020290672,2.03,Retained,0,Lower Risk,0,0
2,0,0,1,0,0,0,0,0,0,0,43,1,1,25,4,0.956,0.558,0.569,2.083333333,47.66666667,0.431295569,0.568704431,0.25,0.25,0,0,0.057520627,5.75,Retained,0,Lower Risk,0,0
1,0,0,0,0,0,1,0,1,0,0,46,0,4,34,6,0.725,0.769,0.786,2.833333333,49.82608696,0.21402214,0.78597786,0.25,0.25,0,0,0.053961191,5.4,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,0,0,1,0,48,0,2,35,3,0.842,0.917,0.567,2.916666667,69.23188406,0.432663561,0.567336439,0.083333333,0.25,0,0,0.029685257,2.97,Retained,0,Lower Risk,0,0
1,0,0,0,1,0,0,0,1,0,0,45,0,4,36,5,0.858,0.58,0.757,3,46.01265823,0.242876526,0.757123474,0.083333333,0.166666667,0,0,0.041118664,4.11,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,1,0,0,1,0,65,0,1,36,3,0.691,0.629,0,3,70.98245614,1,0,0.25,0.166666667,0,0,0.18663641,18.66,Retained,0,Lower Risk,0,0
3,0,0,1,0,0,0,0,1,0,0,32,1,2,36,2,0.741,0.793,0.075,3,158.5096154,0.925033415,0.074966585,0.166666667,0.083333333,0,0,0.004101211,0.41,Retained,0,Lower Risk,0,0
3,0,0,0,0,1,0,0,0,1,0,44,1,4,36,5,0.956,0.639,0.678,3,76.37288136,0.321504014,0.678495986,0.166666667,0.25,1,0,0.140091135,14.01,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,1,0,34,1,2,23,1,0.726,0.702,0.17,1.916666667,149.0618557,0.830201342,0.169798658,0.166666667,0.25,0,0,0.014812746,1.48,Retained,0,Lower Risk,0,0
0,1,0,0,0,0,0,1,0,1,0,55,0,2,37,2,0.821,0.739,0.052,3.083333333,105.9,0.948342798,0.051657202,0.25,0.166666667,1,0,0.106773042,10.68,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,1,0,0,50,0,2,42,5,0.626,0.774,0.964,3.5,52.55319149,0.036158192,0.963841808,0,0.25,0,0,0.006577711,0.66,Retained,0,Lower Risk,0,0
1,0,0,1,0,0,0,0,0,1,0,53,0,1,39,3,0.801,0.791,0.452,3.25,54.85714286,0.548275862,0.451724138,0.166666667,0.25,0,0,0.051482865,5.15,Retained,0,Lower Risk,0,0
2,0,0,0,0,0,1,0,0,1,0,62,1,0,36,6,0.884,0.688,0,3,56.44444444,1,0,0.25,0.083333333,0,0,0.03530466,3.53,Retained,0,Lower Risk,0,0
1,0,0,1,0,0,0,0,1,0,0,49,1,3,41,5,0.751,0.391,0.648,3.416666667,36.65625,0.351620948,0.648379052,0.166666667,0.25,0,0,0.083955268,8.4,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,1,0,39,0,1,23,4,0.998,0.947,0,1.916666667,69.2972973,1,0,0.25,0.25,0,0,0.083884007,8.39,Retained,0,Lower Risk,0,0
2,0,0,0,1,0,0,0,1,0,0,44,1,3,34,4,0.633,0.811,0,2.833333333,60.76119403,1,0,0.416666667,0.166666667,0,0,0.088741249,8.87,Retained,0,Lower Risk,0,0
4,1,0,0,0,0,0,0,0,1,0,55,1,2,42,2,0.526,0.355,0.044,3.5,30.19047619,0.955759648,0.044240352,0.166666667,0.25,0,1,0.891605907,89.16,Churn,1,High Risk,0,0
0,0,0,1,0,0,0,0,0,1,0,47,0,2,36,3,0.732,0.465,0.519,3,34.44444444,0.480762047,0.519237953,0.25,0.25,0,0,0.475813689,47.58,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,1,0,1,0,30,0,0,36,1,1.04,0.957,0.515,3,61.86666667,0.484579637,0.515420363,0.083333333,0.083333333,0,0,0.02017126,2.02,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,0,1,0,0,29,0,0,19,2,0.636,0.742,0.772,1.583333333,45.57407407,0.228150874,0.771849126,0.166666667,0.083333333,1,0,0.043499781,4.35,Retained,0,Lower Risk,0,0
3,0,0,1,0,0,0,0,0,1,0,39,1,3,34,4,0.804,1,0,2.833333333,50.83783784,1,0,0.416666667,0.25,0,0,0.171167123,17.12,Retained,0,Lower Risk,0,0
2,0,1,0,0,0,0,0,0,1,0,39,1,2,27,4,0.771,0.808,0,2.25,41.59574468,1,0,0.25,0.083333333,0,0,0.051862179,5.19,Retained,0,Lower Risk,0,0
0,0,0,0,0,1,0,0,1,0,0,51,0,3,36,4,0.709,0.667,0,3,61.75714286,1,0,0.25,0.166666667,0,0,0.166931769,16.69,Retained,0,Lower Risk,0,0
2,0,0,0,0,0,0,0,0,1,0,42,1,4,23,2,0.7,0.905,0.254,1.916666667,56.9875,0.745998188,0.254001812,0.083333333,0.25,0,0,0.020953648,2.1,Retained,0,Lower Risk,0,0
0,0,0,0,0,1,0,0,1,0,0,27,0,1,13,3,0.715,1.147,0.688,1.083333333,52.80821918,0.311687409,0.688312591,0.166666667,0.166666667,0,0,0.005401984,0.54,Retained,0,Lower Risk,0,0
2,0,0,0,0,0,0,1,1,0,0,60,1,0,54,4,0.505,0.7,0.906,4.5,48.52941176,0.093512142,0.906487858,0,0.083333333,0,0,0.000375735,0.04,Retained,0,Lower Risk,0,0
0,0,0,0,1,0,0,0,0,0,0,52,0,2,32,6,0.694,0.816,0.651,2.666666667,55.89855072,0.348578492,0.651421508,0.333333333,0.25,0,0,0.044414286,4.44,Retained,0,Lower Risk,0,0
2,0,0,0,1,0,0,0,1,0,0,63,1,1,56,3,0.491,0.583,0.322,4.666666667,45.63157895,0.678353659,0.321646341,0.333333333,0.166666667,0,0,0.051827079,5.18,Retained,0,Lower Risk,0,0
1,0,0,0,0,0,1,0,1,0,0,48,0,2,36,3,0.718,0.652,0,3,52.68421053,1,0,0.333333333,0.25,0,0,0.437449671,43.74,Retained,0,Lower Risk,0,0
1,0,0,0,0,1,0,0,0,0,1,42,1,5,36,1,0.757,0.662,0.221,3,126.7372881,0.778748457,0.221251543,0.166666667,0.166666667,0,0,0.010221685,1.02,Retained,0,Lower Risk,0,0
1,0,0,0,0,0,1,0,1,0,0,53,0,1,46,5,0.743,0.455,0,3.833333333,33.09375,1,0,0.25,0.166666667,0,1,0.510272705,51.03,Churn,1,High Risk,0,0
0,0,0,1,0,0,0,0,1,0,0,46,0,4,36,4,1.057,0.481,0,3,69.95,1,0,0.333333333,0.25,1,1,0.90232935,90.23,Churn,1,High Risk,0,0
2,0,0,1,0,0,0,0,1,0,0,38,1,3,34,6,0.68,0.65,0.432,2.833333333,54.03030303,0.567724967,0.432275033,0.25,0.25,0,0,0.04995209,5,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,1,0,1,0,55,0,1,42,4,0.74,0.714,0,3.5,68.83333333,1,0,0.25,0.416666667,0,0,0.177378723,17.74,Retained,0,Lower Risk,0,0
0,0,0,1,0,0,0,0,0,1,0,48,0,4,37,1,0.812,0.634,0.502,3.083333333,57.35820896,0.497509522,0.502490478,0.25,0.083333333,0,0,0.027696946,2.77,Retained,0,Lower Risk,0,0
1,0,0,0,0,0,0,0,1,0,0,43,0,3,36,1,0.638,0.8,0,3,164.7666667,1,0,0.166666667,0.25,0,0,0.16104211,16.1,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,0,1,0,0,55,0,1,36,6,0.72,0.862,0.105,3,39.77777778,0.895363337,0.104636663,0.166666667,0.25,0,0,0.058159439,5.82,Retained,0,Lower Risk,0,0
3,0,0,0,0,0,0,0,0,1,0,51,1,2,43,5,0.52,0.66,0,3.583333333,46.60227273,1,0,0.25,0.25,0,0,0.35347468,35.35,Retained,0,Lower Risk,0,0
2,0,0,0,0,1,0,0,0,1,0,42,1,2,26,6,0.311,0.429,0.084,2.166666667,66.86666667,0.916021728,0.083978272,0.25,0.166666667,0,1,0.514597737,51.46,Churn,1,High Risk,0,0
0,0,0,0,0,0,0,1,0,1,0,41,0,4,36,2,0.811,0.743,0.634,3,82.14754098,0.365991903,0.634008097,0.166666667,0.25,0,0,0.049094392,4.91,Retained,0,Lower Risk,0,0
4,0,0,0,0,0,0,1,1,0,0,57,1,1,36,6,0.462,0.72,0.082,3,37,0.917519289,0.082480711,0.333333333,0.166666667,0,0,0.031968898,3.2,Retained,0,Lower Risk,0,0
3,0,0,0,1,0,0,0,0,1,0,51,1,1,45,6,0.603,0.705,0.14,3.75,51.34666667,0.859712501,0.140287499,0.25,0.083333333,0,0,0.006472923,0.65,Retained,0,Lower Risk,0,0
1,0,0,0,0,0,1,0,1,0,0,36,1,3,25,6,0.749,0.644,0.691,2.083333333,55.97297297,0.309465021,0.690534979,0.333333333,0.166666667,0,0,0.058905672,5.89,Retained,0,Lower Risk,0,0
2,0,0,1,0,0,0,0,0,1,0,41,1,2,31,3,0.627,0.545,0.235,2.583333333,72.54411765,0.764827419,0.235172581,0.25,0.083333333,0,0,0.017781513,1.78,Retained,0,Lower Risk,0,0
2,0,0,1,0,0,0,0,1,0,0,34,1,0,26,4,1.705,0.885,0.189,2.166666667,49.08163265,0.811207729,0.188792271,0.25,0.25,0,0,0.001597223,0.16,Retained,0,Lower Risk,0,0
0,0,0,0,0,0,0,1,0,1,0,48,0,2,36,4,0.727,0.619,0.251,3,53.17647059,0.748553393,0.251446607,0.166666667,0.25,0,0,0.125248176,12.52,Retained,0,Lower Risk,0,0
