Churn,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Transaction_Amount_Change_Q4_Q1,Transaction_Count_Change_Q4_Q1,Avg_Utilization_Ratio,Customer_Tenure_Years,Average_Transaction_Value,Available_Credit_Ratio,Revolving_Balance_Ratio,Contact_Frequency,Inactivity_Ratio
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,0.831,0.68,0.217,2.5833333333333335,28.595238095238095,0.782602252519265,0.21739774748073504,0.16666666666666666,0.25
Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,1.433,1.364,0.174,4.5,50.53846153846154,0.8255085211654756,0.17449147883452445,0.25,0.16666666666666666
Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,3.397,3.25,0.0,3.0,90.52941176470588,1.0,0.0,0.0,0.5
Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1.163,2.0,0.195,2.5,39.72727272727273,0.8050778050778051,0.19492219492219492,0.25,0.08333333333333333
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,1.19,0.611,0.2789999999999999,4.0,54.13793103448276,0.7208538587848933,0.2791461412151067,0.16666666666666666,0.16666666666666666
Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1.707,1.7,0.23,3.0833333333333335,49.925925925925924,0.7704298535663675,0.2295701464336325,0.16666666666666666,0.08333333333333333
Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,1.7080000000000002,0.929,0.078,3.0,61.888888888888886,0.9222181973853196,0.07778180261468041,0.25,0.16666666666666666
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,0.653,1.625,0.095,2.8333333333333335,48.95238095238095,0.904617657923901,0.095382342076099,0.08333333333333333,0.3333333333333333
Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,1.831,1.143,0.7879999999999999,4.666666666666667,44.53333333333333,0.21171312245537113,0.7882868775446289,0.25,0.16666666666666666
Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,0.966,0.909,0.08,3.0833333333333335,57.476190476190474,0.9200414651002073,0.07995853489979267,0.16666666666666666,0.08333333333333333
Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,0.906,0.929,0.086,3.5,43.629629629629626,0.9141999141999142,0.0858000858000858,0.0,0.16666666666666666
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,1.047,0.6,0.0,4.083333333333333,43.25,1.0,0.0,0.25,0.25
Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,1.608,1.571,0.152,2.75,51.72222222222222,0.8478747203579419,0.15212527964205816,0.08333333333333333,0.16666666666666666
Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,0.573,0.353,0.626,3.0,48.95652173913044,0.3739967897271268,0.6260032102728732,0.16666666666666666,0.25
Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,1.075,0.75,0.0,3.5,52.857142857142854,1.0,0.0,0.25,0.16666666666666666
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,0.797,0.833,0.215,2.3333333333333335,47.77272727272727,0.7851441812564367,0.21485581874356333,0.16666666666666666,0.08333333333333333
Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,0.921,1.3,0.093,3.8333333333333335,52.04347826086956,0.9070616883116883,0.0929383116883117,0.16666666666666666,0.08333333333333333
Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,0.843,1.0,0.099,4.666666666666667,47.6,0.9011257953989231,0.09887420460107685,0.16666666666666666,0.25
Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,0.525,1.571,0.0,2.8333333333333335,58.44444444444444,1.0,0.0,0.16666666666666666,0.16666666666666666
Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0.7390000000000001,0.9,0.285,3.5,27.5,0.7153605015673982,0.2846394984326019,0.0,0.0
Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,0.977,2.571,0.6579999999999999,2.75,41.52,0.34217217580820924,0.6578278241917908,0.25,0.16666666666666666
Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,1.3230000000000002,1.6,0.69,4.0,61.38461538461539,0.31048551611587105,0.689514483884129,0.08333333333333333,0.4166666666666667
Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1.726,1.6669999999999998,0.282,3.0,66.20833333333333,0.7179199820688109,0.2820800179311891,0.16666666666666666,0.08333333333333333
Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,1.75,1.0,0.562,3.1666666666666665,50.392857142857146,0.4377358490566038,0.5622641509433962,0.25,0.16666666666666666
Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,0.519,0.7140000000000001,0.135,4.083333333333333,53.791666666666664,0.8649143767423337,0.13508562325766627,0.16666666666666666,0.16666666666666666
Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,0.51,0.483,0.544,3.0,32.72093023255814,0.45625,0.54375,0.08333333333333333,0.16666666666666666
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,1.724,1.176,0.757,3.0,50.729729729729726,0.242833607907743,0.757166392092257,0.25,0.16666666666666666
Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,0.865,1.2,0.0,3.0,43.90909090909091,1.0,0.0,0.25,0.25
Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,1.32,0.556,0.241,4.083333333333333,52.285714285714285,0.7587145969498911,0.24128540305010893,0.16666666666666666,0.25
Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,1.052,0.143,0.077,4.666666666666667,44.0,0.9232428317685867,0.07675716823141335,0.25,0.3333333333333333
Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,1.042,0.474,0.018,3.4166666666666665,39.607142857142854,0.9821747980016037,0.017825201998396347,0.16666666666666666,0.16666666666666666
Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,0.8029999999999999,0.556,0.355,3.6666666666666665,48.107142857142854,0.6448025785656728,0.35519742143432714,0.0,0.08333333333333333
Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,1.449,1.2,0.145,3.5833333333333335,53.21212121212121,0.8545423023578363,0.14545769764216365,0.25,0.16666666666666666
Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,1.214,1.0,0.0,3.0833333333333335,54.875,1.0,0.0,0.08333333333333333,0.16666666666666666
Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,0.977,0.917,0.209,2.3333333333333335,45.30434782608695,0.7909460834181078,0.20905391658189218,0.25,0.25
Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,1.621,1.3330000000000002,0.0,2.5,51.57142857142857,1.0,0.0,0.25,0.16666666666666666
Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2.316,0.588,0.626,3.75,64.48148148148148,0.3736311870346036,0.6263688129653964,0.0,0.16666666666666666
Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2.357,1.7,0.7929999999999999,4.333333333333333,63.666666666666664,0.20722135007849293,0.792778649921507,0.16666666666666666,0.16666666666666666
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,0.787,0.8,0.074,3.3333333333333335,45.074074074074076,0.926251413300442,0.07374858669955803,0.25,0.25
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,0.624,0.6,0.259,3.3333333333333335,28.5,0.7414120126448893,0.2585879873551106,0.08333333333333333,0.08333333333333333
Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,1.321,1.143,0.591,3.4166666666666665,62.6,0.4092295957284516,0.5907704042715485,0.16666666666666666,0.25
Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,0.997,0.9,0.562,3.3333333333333335,37.10526315789474,0.4382256830981019,0.561774316901898,0.08333333333333333,0.25
Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,1.224,1.923,0.687,4.5,51.21052631578947,0.31283506780195525,0.6871649321980448,0.16666666666666666,0.3333333333333333
Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,0.664,0.25,0.127,3.0,40.4,0.8726407934018114,0.12735920659818853,0.0,0.16666666666666666
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,1.041,0.364,0.0,3.0,40.13333333333333,1.0,0.0,0.25,0.25
Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,0.6779999999999999,0.6,0.667,3.0,32.875,0.3329290479078229,0.667070952092177,0.16666666666666666,0.3333333333333333
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,0.75,0.6,0.843,3.0,32.375,0.15667380442541043,0.8433261955745895,0.0,0.16666666666666666
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,1.107,1.4169999999999998,0.422,4.166666666666667,49.10344827586207,0.5782862270076268,0.4217137729923733,0.25,0.16666666666666666
Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,2.275,1.083,0.156,2.9166666666666665,54.36,0.8440937350549976,0.1559062649450024,0.16666666666666666,0.08333333333333333
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,0.69,1.25,0.525,2.8333333333333335,43.25925925925926,0.47452038369304556,0.5254796163069544,0.25,0.3333333333333333
Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,0.901,0.833,0.5870000000000001,3.9166666666666665,33.24242424242424,0.41327124563445866,0.5867287543655413,0.25,0.16666666666666666
Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,0.763,0.5,0.0,2.9166666666666665,46.06666666666667,1.0,0.0,0.3333333333333333,0.3333333333333333
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,0.944,1.154,0.211,2.75,47.0,0.78889638879514,0.21110361120485993,0.25,0.25
Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,0.997,0.733,0.088,2.6666666666666665,49.07692307692308,0.9122594648745669,0.08774053512543306,0.16666666666666666,0.3333333333333333
Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,0.989,0.917,0.111,3.6666666666666665,56.04347826086956,0.8891000407221392,0.11089995927786073,0.16666666666666666,0.16666666666666666
Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,0.5920000000000001,0.6,0.044,3.1666666666666665,40.40625,0.9561073125507011,0.043892687449298876,0.3333333333333333,0.08333333333333333
Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,0.62,0.667,0.276,4.333333333333333,38.65714285714286,0.7240279465370595,0.27597205346294046,0.25,0.25
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,1.004,0.556,0.7040000000000001,1.6666666666666667,40.42857142857143,0.29558541266794625,0.7044145873320538,0.25,0.25
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,1.715,2.4,0.6559999999999999,2.6666666666666665,98.23529411764706,0.34380557202133966,0.6561944279786603,0.16666666666666666,0.16666666666666666
Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,1.072,2.0,0.053,3.1666666666666665,55.8,0.9474308300395257,0.05256916996047431,0.16666666666666666,0.16666666666666666
Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,1.266,1.05,0.051,3.5,37.80487804878049,0.948922238961641,0.051077761038359024,0.25,0.16666666666666666
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,0.758,0.286,0.467,3.5,42.77777777777778,0.5333935018050542,0.4666064981949459,0.25,0.25
Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,0.769,0.4,0.698,3.5833333333333335,59.80952380952381,0.3024054982817869,0.697594501718213,0.25,0.16666666666666666
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,0.414,0.522,0.067,3.0833333333333335,39.82857142857143,0.9333129664382664,0.06668703356173351,0.16666666666666666,0.16666666666666666
Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,1.3119999999999998,1.182,0.079,2.9166666666666665,55.875,0.920533070088845,0.07946692991115499,0.25,0.25
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,0.857,0.435,0.287,3.0,39.06060606060606,0.7126327769347496,0.28736722306525037,0.16666666666666666,0.25
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,0.475,1.875,0.36,3.0,48.34782608695652,0.6404285714285715,0.3595714285714286,0.16666666666666666,0.3333333333333333
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,0.7509999999999999,0.966,0.256,2.4166666666666665,41.03508771929825,0.74410343847684,0.25589656152316,0.16666666666666666,0.3333333333333333
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,0.703,0.353,0.7190000000000001,2.5,63.82608695652174,0.2811514195583596,0.7188485804416404,0.16666666666666666,0.08333333333333333
Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,0.85,0.4,0.066,3.1666666666666665,38.114285714285714,0.9342997508995294,0.06570024910047052,0.16666666666666666,0.25
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,1.242,1.412,0.198,3.0833333333333335,35.53658536585366,0.8021477763511148,0.19785222364888524,0.0,0.3333333333333333
Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,0.924,0.526,0.044,3.0,55.275862068965516,0.9555858152740758,0.04441418472592421,0.16666666666666666,0.16666666666666666
Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,0.585,0.7140000000000001,0.0,3.75,51.25,1.0,0.0,0.25,0.3333333333333333
Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,0.3829999999999999,0.818,0.14,4.333333333333333,53.4,0.8601598736800553,0.13984012631994475,0.25,0.25
Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,1.129,2.0,0.035,2.9166666666666665,58.888888888888886,0.9646830455440955,0.035316954455904506,0.16666666666666666,0.3333333333333333
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,0.921,0.667,0.619,3.9166666666666665,43.74285714285714,0.38087520259319285,0.6191247974068071,0.0,0.25
Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,0.607,0.722,0.108,2.9166666666666665,39.096774193548384,0.8920168067226891,0.10798319327731093,0.08333333333333333,0.16666666666666666
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,0.483,0.6,0.0,2.9166666666666665,38.65625,1.0,0.0,0.25,0.16666666666666666
Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,1.932,1.8,0.066,2.5833333333333335,100.92857142857143,0.9343838193791157,0.06561618062088428,0.08333333333333333,0.25
Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,1.702,1.636,0.0,3.75,52.275862068965516,1.0,0.0,0.25,0.25
Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,0.731,1.3330000000000002,0.0,3.0,60.76190476190476,1.0,0.0,0.16666666666666666,0.16666666666666666
Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,0.875,2.182,0.062,3.1666666666666665,44.68571428571428,0.937607820586544,0.06239217941345601,0.0,0.25
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,0.579,0.619,0.0,3.0,43.088235294117645,1.0,0.0,0.25,0.3333333333333333
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,0.85,0.933,0.765,3.5,44.3448275862069,0.23536036036036037,0.7646396396396397,0.08333333333333333,0.3333333333333333
Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1.705,1.222,0.963,2.3333333333333335,65.6,0.03747534516765286,0.9625246548323472,0.16666666666666666,0.08333333333333333
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,1.656,0.882,0.524,4.333333333333333,52.28125,0.47630193095377416,0.5236980690462258,0.25,0.3333333333333333
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,0.597,0.304,0.347,2.9166666666666665,43.766666666666666,0.6525767226404169,0.3474232773595831,0.16666666666666666,0.3333333333333333
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,1.047,0.68,0.45,2.9166666666666665,38.30952380952381,0.5497492742148324,0.4502507257851676,0.16666666666666666,0.25
Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,0.5760000000000001,0.727,0.2319999999999999,4.166666666666667,60.94736842105263,0.7677778924553618,0.23222210754463826,0.0,0.16666666666666666
Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,0.696,0.385,0.299,3.0833333333333335,46.44444444444444,0.7012295834098,0.29877041659020004,0.25,0.25
Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,0.619,1.0,0.085,3.5833333333333335,58.59090909090909,0.9149010072941993,0.08509899270580062,0.0,0.3333333333333333
Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,1.034,0.733,0.059,2.8333333333333335,57.19230769230769,0.9405203383937883,0.05947966160621161,0.25,0.25
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,0.562,0.5,0.43,2.8333333333333335,38.15151515151515,0.5700680272108843,0.42993197278911566,0.16666666666666666,0.16666666666666666
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,0.7879999999999999,1.5,0.62,2.6666666666666665,86.53333333333333,0.38007258330583965,0.6199274166941603,0.25,0.25
Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,0.883,0.789,0.0,2.0833333333333335,36.05882352941177,1.0,0.0,0.0,0.25
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,0.762,0.542,0.111,2.75,42.32432432432432,0.8892079444843264,0.1107920555156736,0.25,0.25
Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,0.828,1.1,0.027,3.0,48.666666666666664,0.9730270019701008,0.02697299802989918,0.16666666666666666,0.08333333333333333
Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,1.283,0.667,0.1689999999999999,3.0,41.166666666666664,0.8311418685121107,0.16885813148788928,0.25,0.16666666666666666
Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0.813,1.095,0.0,4.666666666666667,44.34090909090909,1.0,0.0,0.0,0.0
Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,0.618,0.8240000000000001,0.0579999999999999,3.0,33.774193548387096,0.9419963895711876,0.058003610428812406,0.16666666666666666,0.25
Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,0.56,0.391,0.223,3.25,41.9375,0.7772265532719111,0.22277344672808883,0.0,0.25
Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,0.939,1.625,0.057,3.0,52.714285714285715,0.94266967126193,0.05733032873806999,0.25,0.25
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,0.588,0.346,0.513,3.0,35.74285714285714,0.48697517621820413,0.5130248237817959,0.16666666666666666,0.08333333333333333
Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,1.6740000000000002,3.0,0.473,3.0,54.375,0.5274431057563588,0.4725568942436412,0.16666666666666666,0.16666666666666666
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,0.7909999999999999,1.056,0.095,2.9166666666666665,37.513513513513516,0.9045088923326692,0.09549110766733082,0.0,0.08333333333333333
Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,1.826,1.571,0.047,3.0,68.61111111111111,0.9526103992375304,0.04738960076246956,0.16666666666666666,0.16666666666666666
Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,1.024,1.118,0.106,4.0,58.02777777777778,0.8937040748162992,0.10629592518370073,0.0,0.16666666666666666
Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1.873,0.7859999999999999,0.156,3.25,65.04,0.8435367322360497,0.15646326776395023,0.3333333333333333,0.08333333333333333
Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,0.7120000000000001,1.0,0.05,3.0,46.291666666666664,0.9504946396787947,0.049505360321205345,0.25,0.5
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,0.816,1.0,0.355,3.6666666666666665,40.86842105263158,0.6454681089145841,0.3545318910854159,0.25,0.16666666666666666
Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,1.004,0.625,0.03,3.0,81.84615384615384,0.9703615714451269,0.029638428554873104,0.16666666666666666,0.16666666666666666
Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,0.7659999999999999,0.611,0.615,3.0,42.86206896551724,0.3853182104599874,0.6146817895400126,0.0,0.08333333333333333
Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,1.584,1.533,0.15,3.9166666666666665,43.6578947368421,0.8502691241233078,0.14973087587669223,0.16666666666666666,0.16666666666666666
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,0.5660000000000001,0.382,0.407,3.4166666666666665,33.91489361702128,0.5934530095036958,0.4065469904963041,0.25,0.25
Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,0.526,0.355,0.044,3.5,30.19047619047619,0.9557596476996175,0.04424035230038243,0.16666666666666666,0.25
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,0.6759999999999999,0.846,0.0,3.0,54.333333333333336,1.0,0.0,0.16666666666666666,0.16666666666666666
Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,0.5670000000000001,0.364,0.0,4.333333333333333,45.6,1.0,0.0,0.0,0.08333333333333333
Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,0.622,0.353,0.191,3.4166666666666665,31.304347826086957,0.8091524552232411,0.19084754477675894,0.16666666666666666,0.25
Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,0.846,1.4169999999999998,0.096,3.75,52.44827586206897,0.9039314218149571,0.09606857818504286,0.16666666666666666,0.08333333333333333
Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,0.7,0.765,0.176,3.0,37.9,0.824192462987887,0.17580753701211305,0.16666666666666666,0.16666666666666666
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,0.7879999999999999,0.778,0.83,3.0,61.125,0.17049728374425407,0.8295027162557459,0.16666666666666666,0.08333333333333333
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,0.632,2.2,0.412,3.25,76.3125,0.5881197839960727,0.4118802160039273,0.16666666666666666,0.08333333333333333
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,1.186,1.545,0.086,3.8333333333333335,55.892857142857146,0.9137519460300986,0.0862480539699014,0.25,0.16666666666666666
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1.541,0.7,0.6779999999999999,3.5833333333333335,46.411764705882355,0.3215633423180593,0.6784366576819407,0.3333333333333333,0.08333333333333333
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,0.541,1.0,0.246,3.0833333333333335,46.65625,0.7536321483771252,0.2463678516228748,0.25,0.08333333333333333
Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,0.688,0.929,0.067,3.1666666666666665,43.629629629629626,0.9329304621669929,0.06706953783300706,0.0,0.08333333333333333
Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,0.8390000000000001,0.733,0.271,3.0,38.11538461538461,0.7291371082161744,0.2708628917838256,0.16666666666666666,0.25
Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1.689,1.211,0.114,3.3333333333333335,60.95238095238095,0.8860491929285165,0.11395080707148347,0.0,0.08333333333333333
Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,1.236,1.231,0.395,3.0,57.13793103448276,0.6047390975548274,0.3952609024451727,0.25,0.16666666666666666
Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,0.939,0.727,0.406,2.25,63.36842105263158,0.5943593875906527,0.4056406124093473,0.16666666666666666,0.16666666666666666
Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,0.654,0.8,0.0,3.1666666666666665,37.388888888888886,1.0,0.0,0.25,0.25
Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,0.649,0.636,0.258,3.5,62.833333333333336,0.7424745462594068,0.25752545374059316,0.25,0.16666666666666666
Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,1.996,1.5,0.1689999999999999,2.8333333333333335,63.04,0.8313680825405333,0.1686319174594667,0.16666666666666666,0.25
Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,0.397,0.667,0.178,3.0,60.85,0.821941594317285,0.17805840568271508,0.25,0.16666666666666666
Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,0.71,1.0,0.0,4.416666666666667,53.0,1.0,0.0,0.25,0.25
